feature,selected,strategy,reason
hip_flexion_right_mean,True,all,All Prompt 3 biomechanical features retained.
hip_flexion_right_median,True,all,All Prompt 3 biomechanical features retained.
hip_flexion_right_std,True,all,All Prompt 3 biomechanical features retained.
hip_flexion_right_variance,True,all,All Prompt 3 biomechanical features retained.
hip_flexion_right_maximum,True,all,All Prompt 3 biomechanical features retained.
hip_flexion_right_minimum,True,all,All Prompt 3 biomechanical features retained.
hip_flexion_right_rom,True,all,All Prompt 3 biomechanical features retained.
hip_flexion_right_time_to_peak,True,all,All Prompt 3 biomechanical features retained.
hip_flexion_left_mean,True,all,All Prompt 3 biomechanical features retained.
hip_flexion_left_median,True,all,All Prompt 3 biomechanical features retained.
hip_flexion_left_std,True,all,All Prompt 3 biomechanical features retained.
hip_flexion_left_variance,True,all,All Prompt 3 biomechanical features retained.
hip_flexion_left_maximum,True,all,All Prompt 3 biomechanical features retained.
hip_flexion_left_minimum,True,all,All Prompt 3 biomechanical features retained.
hip_flexion_left_rom,True,all,All Prompt 3 biomechanical features retained.
hip_flexion_left_time_to_peak,True,all,All Prompt 3 biomechanical features retained.
knee_flexion_right_mean,True,all,All Prompt 3 biomechanical features retained.
knee_flexion_right_median,True,all,All Prompt 3 biomechanical features retained.
knee_flexion_right_std,True,all,All Prompt 3 biomechanical features retained.
knee_flexion_right_variance,True,all,All Prompt 3 biomechanical features retained.
knee_flexion_right_maximum,True,all,All Prompt 3 biomechanical features retained.
knee_flexion_right_minimum,True,all,All Prompt 3 biomechanical features retained.
knee_flexion_right_rom,True,all,All Prompt 3 biomechanical features retained.
knee_flexion_right_time_to_peak,True,all,All Prompt 3 biomechanical features retained.
knee_flexion_left_mean,True,all,All Prompt 3 biomechanical features retained.
knee_flexion_left_median,True,all,All Prompt 3 biomechanical features retained.
knee_flexion_left_std,True,all,All Prompt 3 biomechanical features retained.
knee_flexion_left_variance,True,all,All Prompt 3 biomechanical features retained.
knee_flexion_left_maximum,True,all,All Prompt 3 biomechanical features retained.
knee_flexion_left_minimum,True,all,All Prompt 3 biomechanical features retained.
knee_flexion_left_rom,True,all,All Prompt 3 biomechanical features retained.
knee_flexion_left_time_to_peak,True,all,All Prompt 3 biomechanical features retained.
ankle_angle_right_mean,True,all,All Prompt 3 biomechanical features retained.
ankle_angle_right_median,True,all,All Prompt 3 biomechanical features retained.
ankle_angle_right_std,True,all,All Prompt 3 biomechanical features retained.
ankle_angle_right_variance,True,all,All Prompt 3 biomechanical features retained.
ankle_angle_right_maximum,True,all,All Prompt 3 biomechanical features retained.
ankle_angle_right_minimum,True,all,All Prompt 3 biomechanical features retained.
ankle_angle_right_rom,True,all,All Prompt 3 biomechanical features retained.
ankle_angle_right_time_to_peak,True,all,All Prompt 3 biomechanical features retained.
ankle_angle_left_mean,True,all,All Prompt 3 biomechanical features retained.
ankle_angle_left_median,True,all,All Prompt 3 biomechanical features retained.
ankle_angle_left_std,True,all,All Prompt 3 biomechanical features retained.
ankle_angle_left_variance,True,all,All Prompt 3 biomechanical features retained.
ankle_angle_left_maximum,True,all,All Prompt 3 biomechanical features retained.
ankle_angle_left_minimum,True,all,All Prompt 3 biomechanical features retained.
ankle_angle_left_rom,True,all,All Prompt 3 biomechanical features retained.
ankle_angle_left_time_to_peak,True,all,All Prompt 3 biomechanical features retained.
hip_flexion_rom_absolute_difference,True,all,All Prompt 3 biomechanical features retained.
hip_flexion_rom_percent_difference,True,all,All Prompt 3 biomechanical features retained.
hip_flexion_rom_symmetry_index,True,all,All Prompt 3 biomechanical features retained.
knee_flexion_rom_absolute_difference,True,all,All Prompt 3 biomechanical features retained.
knee_flexion_rom_percent_difference,True,all,All Prompt 3 biomechanical features retained.
knee_flexion_rom_symmetry_index,True,all,All Prompt 3 biomechanical features retained.
ankle_angle_rom_absolute_difference,True,all,All Prompt 3 biomechanical features retained.
ankle_angle_rom_percent_difference,True,all,All Prompt 3 biomechanical features retained.
ankle_angle_rom_symmetry_index,True,all,All Prompt 3 biomechanical features retained.
