column,missing_count,missing_percent
ankle_angle_left_maximum,9,3.488372093
ankle_angle_left_mean,9,3.488372093
ankle_angle_left_median,9,3.488372093
ankle_angle_left_minimum,9,3.488372093
ankle_angle_left_rom,9,3.488372093
ankle_angle_left_std,9,3.488372093
ankle_angle_left_time_to_peak,9,3.488372093
ankle_angle_left_variance,9,3.488372093
ankle_angle_right_maximum,9,3.488372093
ankle_angle_right_mean,9,3.488372093
ankle_angle_right_median,9,3.488372093
ankle_angle_right_minimum,9,3.488372093
ankle_angle_right_rom,9,3.488372093
ankle_angle_right_std,9,3.488372093
ankle_angle_right_time_to_peak,9,3.488372093
ankle_angle_right_variance,9,3.488372093
ankle_angle_rom_absolute_difference,9,3.488372093
ankle_angle_rom_percent_difference,9,3.488372093
ankle_angle_rom_symmetry_index,9,3.488372093
hip_flexion_left_maximum,9,3.488372093
hip_flexion_left_mean,9,3.488372093
hip_flexion_left_median,9,3.488372093
hip_flexion_left_minimum,9,3.488372093
hip_flexion_left_rom,9,3.488372093
hip_flexion_left_std,9,3.488372093
hip_flexion_left_time_to_peak,9,3.488372093
hip_flexion_left_variance,9,3.488372093
hip_flexion_right_maximum,9,3.488372093
hip_flexion_right_mean,9,3.488372093
hip_flexion_right_median,9,3.488372093
hip_flexion_right_minimum,9,3.488372093
hip_flexion_right_rom,9,3.488372093
hip_flexion_right_std,9,3.488372093
hip_flexion_right_time_to_peak,9,3.488372093
hip_flexion_right_variance,9,3.488372093
hip_flexion_rom_absolute_difference,9,3.488372093
hip_flexion_rom_percent_difference,9,3.488372093
hip_flexion_rom_symmetry_index,9,3.488372093
knee_flexion_left_maximum,9,3.488372093
knee_flexion_left_mean,9,3.488372093
knee_flexion_left_median,9,3.488372093
knee_flexion_left_minimum,9,3.488372093
knee_flexion_left_rom,9,3.488372093
knee_flexion_left_std,9,3.488372093
knee_flexion_left_time_to_peak,9,3.488372093
knee_flexion_left_variance,9,3.488372093
knee_flexion_right_maximum,9,3.488372093
knee_flexion_right_mean,9,3.488372093
knee_flexion_right_median,9,3.488372093
knee_flexion_right_minimum,9,3.488372093
knee_flexion_right_rom,9,3.488372093
knee_flexion_right_std,9,3.488372093
knee_flexion_right_time_to_peak,9,3.488372093
knee_flexion_right_variance,9,3.488372093
knee_flexion_rom_absolute_difference,9,3.488372093
knee_flexion_rom_percent_difference,9,3.488372093
knee_flexion_rom_symmetry_index,9,3.488372093
condition,0,0
is_empty,0,0
participant_id,0,0
trial_name,0,0
trial_slot,0,0
