frame_number,timestamp,landmark_index,landmark_name,x,y,z,visibility,confidence
0,0,0,nose,,,,,
0,0,1,left_eye_inner,,,,,
0,0,2,left_eye,,,,,
0,0,3,left_eye_outer,,,,,
0,0,4,right_eye_inner,,,,,
0,0,5,right_eye,,,,,
0,0,6,right_eye_outer,,,,,
0,0,7,left_ear,,,,,
0,0,8,right_ear,,,,,
0,0,9,mouth_left,,,,,
0,0,10,mouth_right,,,,,
0,0,11,left_shoulder,,,,,
0,0,12,right_shoulder,,,,,
0,0,13,left_elbow,,,,,
0,0,14,right_elbow,,,,,
0,0,15,left_wrist,,,,,
0,0,16,right_wrist,,,,,
0,0,17,left_pinky,,,,,
0,0,18,right_pinky,,,,,
0,0,19,left_index,,,,,
0,0,20,right_index,,,,,
0,0,21,left_thumb,,,,,
0,0,22,right_thumb,,,,,
0,0,23,left_hip,,,,,
0,0,24,right_hip,,,,,
0,0,25,left_knee,,,,,
0,0,26,right_knee,,,,,
0,0,27,left_ankle,,,,,
0,0,28,right_ankle,,,,,
0,0,29,left_heel,,,,,
0,0,30,right_heel,,,,,
0,0,31,left_foot_index,,,,,
0,0,32,right_foot_index,,,,,
6,0.5,0,nose,,,,,
6,0.5,1,left_eye_inner,,,,,
6,0.5,2,left_eye,,,,,
6,0.5,3,left_eye_outer,,,,,
6,0.5,4,right_eye_inner,,,,,
6,0.5,5,right_eye,,,,,
6,0.5,6,right_eye_outer,,,,,
6,0.5,7,left_ear,,,,,
6,0.5,8,right_ear,,,,,
6,0.5,9,mouth_left,,,,,
6,0.5,10,mouth_right,,,,,
6,0.5,11,left_shoulder,,,,,
6,0.5,12,right_shoulder,,,,,
6,0.5,13,left_elbow,,,,,
6,0.5,14,right_elbow,,,,,
6,0.5,15,left_wrist,,,,,
6,0.5,16,right_wrist,,,,,
6,0.5,17,left_pinky,,,,,
6,0.5,18,right_pinky,,,,,
6,0.5,19,left_index,,,,,
6,0.5,20,right_index,,,,,
6,0.5,21,left_thumb,,,,,
6,0.5,22,right_thumb,,,,,
6,0.5,23,left_hip,,,,,
6,0.5,24,right_hip,,,,,
6,0.5,25,left_knee,,,,,
6,0.5,26,right_knee,,,,,
6,0.5,27,left_ankle,,,,,
6,0.5,28,right_ankle,,,,,
6,0.5,29,left_heel,,,,,
6,0.5,30,right_heel,,,,,
6,0.5,31,left_foot_index,,,,,
6,0.5,32,right_foot_index,,,,,
12,1,0,nose,,,,,
12,1,1,left_eye_inner,,,,,
12,1,2,left_eye,,,,,
12,1,3,left_eye_outer,,,,,
12,1,4,right_eye_inner,,,,,
12,1,5,right_eye,,,,,
12,1,6,right_eye_outer,,,,,
12,1,7,left_ear,,,,,
12,1,8,right_ear,,,,,
12,1,9,mouth_left,,,,,
12,1,10,mouth_right,,,,,
12,1,11,left_shoulder,,,,,
12,1,12,right_shoulder,,,,,
12,1,13,left_elbow,,,,,
12,1,14,right_elbow,,,,,
12,1,15,left_wrist,,,,,
12,1,16,right_wrist,,,,,
12,1,17,left_pinky,,,,,
12,1,18,right_pinky,,,,,
12,1,19,left_index,,,,,
12,1,20,right_index,,,,,
12,1,21,left_thumb,,,,,
12,1,22,right_thumb,,,,,
12,1,23,left_hip,,,,,
12,1,24,right_hip,,,,,
12,1,25,left_knee,,,,,
12,1,26,right_knee,,,,,
12,1,27,left_ankle,,,,,
12,1,28,right_ankle,,,,,
12,1,29,left_heel,,,,,
12,1,30,right_heel,,,,,
12,1,31,left_foot_index,,,,,
12,1,32,right_foot_index,,,,,
18,1.5,0,nose,,,,,
18,1.5,1,left_eye_inner,,,,,
18,1.5,2,left_eye,,,,,
18,1.5,3,left_eye_outer,,,,,
18,1.5,4,right_eye_inner,,,,,
18,1.5,5,right_eye,,,,,
18,1.5,6,right_eye_outer,,,,,
18,1.5,7,left_ear,,,,,
18,1.5,8,right_ear,,,,,
18,1.5,9,mouth_left,,,,,
18,1.5,10,mouth_right,,,,,
18,1.5,11,left_shoulder,,,,,
18,1.5,12,right_shoulder,,,,,
18,1.5,13,left_elbow,,,,,
18,1.5,14,right_elbow,,,,,
18,1.5,15,left_wrist,,,,,
18,1.5,16,right_wrist,,,,,
18,1.5,17,left_pinky,,,,,
18,1.5,18,right_pinky,,,,,
18,1.5,19,left_index,,,,,
18,1.5,20,right_index,,,,,
18,1.5,21,left_thumb,,,,,
18,1.5,22,right_thumb,,,,,
18,1.5,23,left_hip,,,,,
18,1.5,24,right_hip,,,,,
18,1.5,25,left_knee,,,,,
18,1.5,26,right_knee,,,,,
18,1.5,27,left_ankle,,,,,
18,1.5,28,right_ankle,,,,,
18,1.5,29,left_heel,,,,,
18,1.5,30,right_heel,,,,,
18,1.5,31,left_foot_index,,,,,
18,1.5,32,right_foot_index,,,,,
